Polygons,Generation,MSE
250,0,36867.712175925924
250,1000,23835.43490740741
250,2000,18741.358958333334
250,3000,15584.207916666666
250,4000,13985.159143518518
250,5000,12704.940902777778
250,6000,11616.978981481481
250,7000,10505.394513888888
250,8000,9152.169421296296
250,9000,8270.390092592592
250,10000,7635.77525462963
250,11000,7322.735601851852
250,12000,6923.453680555555
250,13000,6485.727337962963
250,14000,6008.5877083333335
250,15000,5661.818912037037
250,16000,5117.262314814815
250,17000,4745.45375
250,18000,4416.674259259259
250,19000,4282.515694444444
250,19999,4123.912268518518
