Polygons,Generation,MSE
250,0,19079.989421296297
250,1000,9789.541666666666
250,2000,7564.775555555556
250,3000,6567.3850694444445
250,4000,5821.586226851852
250,5000,5347.294074074074
250,6000,5013.318449074074
250,7000,4839.526527777778
250,8000,4646.516018518519
250,9000,4490.735138888889
250,10000,4338.62625
250,11000,4225.065092592593
250,12000,4125.206018518518
250,13000,4012.5738657407405
250,14000,3954.022800925926
250,15000,3899.715
250,16000,3825.1761805555557
250,17000,3759.6878935185186
250,18000,3647.2436805555553
250,19000,3574.2357407407408
250,19999,3528.7589583333333
