Polygons,Generation,bestMSE,currentMSE
250,1,38563.958125,38563.958125
250,2,38563.958125,38563.958125
250,3,38563.958125,38563.958125
250,4,38563.958125,38563.958125
250,5,38547.16162037037,38547.16162037037
250,6,38547.16162037037,38547.16162037037
250,7,38547.16162037037,38547.35611111111
250,8,38547.16162037037,38549.916921296295
250,9,38410.51261574074,38410.51261574074
250,10,38410.51261574074,38410.51261574074
250,11,38407.400185185186,38407.400185185186
250,12,38407.400185185186,38407.89425925926
250,13,38406.22319444444,38406.22319444444
250,14,38405.79493055555,38405.79493055555
250,15,38405.79493055555,38405.79493055555
250,16,38404.68106481482,38404.68106481482
250,17,38404.68106481482,38404.95719907407
250,18,38404.68106481482,38404.95719907407
250,19,38222.69608796296,38222.69608796296
250,20,38164.78337962963,38164.78337962963
250,21,38164.78337962963,38166.10319444445
250,22,38164.78337962963,38166.10319444445
250,23,38047.44627314815,38047.44627314815
250,24,38047.44627314815,38047.44627314815
250,25,38047.44627314815,38054.32675925926
250,26,38047.44627314815,38054.32675925926
250,27,38047.44627314815,38054.319560185184
250,28,38047.44627314815,38055.379166666666
250,29,38047.44627314815,38054.18865740741
250,30,38047.44627314815,38054.209814814814
250,31,38047.44627314815,38051.75256944444
250,32,38047.44627314815,38065.46078703704
250,33,38047.44627314815,38065.46078703704
250,34,38047.44627314815,38065.46078703704
250,35,38047.44627314815,38066.00173611111
250,36,38047.44627314815,38067.364212962966
250,37,37725.59789351852,37725.59789351852
250,38,37725.59789351852,37725.644328703704
250,39,37725.59789351852,37725.644328703704
250,40,37725.59789351852,37725.62875
250,41,37725.59789351852,37729.128171296295
250,42,37725.59789351852,37730.195601851854
250,43,37725.59789351852,37728.87636574074
250,44,37725.59789351852,37728.80365740741
250,45,37704.75314814815,37704.75314814815
250,46,37687.425625,37687.425625
250,47,37687.425625,37687.64664351852
250,48,37687.425625,37687.64664351852
250,49,37687.425625,37687.66143518518
250,50,37687.425625,37687.69627314815
250,51,37687.425625,37687.68974537037
250,52,37687.425625,37687.656805555554
250,53,37687.425625,37687.6343287037
250,54,37687.425625,37688.32111111111
250,55,37687.17136574074,37687.17136574074
250,56,37687.17136574074,37687.17136574074
250,57,37687.17136574074,37687.416296296295
250,58,37687.17136574074,37687.44395833334
250,59,37626.38085648148,37626.38085648148
250,60,37626.38078703704,37626.38078703704
250,61,37626.38078703704,37626.38078703704
250,62,37626.38078703704,37626.40226851852
250,63,37626.38078703704,37626.40226851852
250,64,37626.38078703704,37626.83546296296
250,65,37625.30606481482,37625.30606481482
250,66,37623.92046296296,37623.92046296296
250,67,37623.92046296296,37635.76828703703
250,68,37623.92046296296,37640.18138888889
250,69,37623.92046296296,37640.0044212963
250,70,37623.92046296296,37640.0044212963
250,71,37623.92046296296,37640.0044212963
250,72,37539.676712962966,37539.676712962966
250,73,37539.676712962966,37539.74712962963
250,74,37539.676712962966,37540.78837962963
250,75,37539.676712962966,37540.78837962963
250,76,37539.676712962966,37540.78837962963
250,77,37539.676712962966,37540.78837962963
250,78,37539.676712962966,37541.10768518518
250,79,37539.676712962966,37540.953055555554
250,80,36359.151921296296,36359.151921296296
250,81,36353.34196759259,36353.34196759259
250,82,36318.64083333333,36318.64083333333
250,83,36318.42800925926,36318.42800925926
250,84,36315.71363425926,36315.71363425926
250,85,36274.31159722222,36274.31159722222
250,86,36265.8044212963,36265.8044212963
250,87,36265.8044212963,36265.8044212963
250,88,36265.8044212963,36265.8044212963
250,89,36258.19766203704,36258.19766203704
250,90,36258.19766203704,36262.13789351852
250,91,36258.19766203704,36262.13789351852
250,92,36258.19766203704,36262.14298611111
250,93,36258.19766203704,36262.14298611111
250,94,36258.19766203704,36261.66425925926
250,95,36247.77449074074,36247.77449074074
250,96,36247.77449074074,36248.940300925926
250,97,36247.77449074074,36259.42340277778
250,98,36247.77449074074,36259.44587962963
250,99,36244.822384259256,36244.822384259256
250,100,36244.822384259256,36244.822384259256
250,101,36241.65363425926,36241.65363425926
250,102,36139.60275462963,36139.60275462963
250,103,36139.60275462963,36139.60275462963
250,104,36137.1180787037,36137.1180787037
250,105,36137.11027777778,36137.11027777778
250,106,36136.44215277778,36136.44215277778
250,107,36136.44215277778,36136.44215277778
250,108,36136.44215277778,36136.44215277778
250,109,36128.22951388889,36128.22951388889
250,110,36128.22951388889,36133.64506944444
250,111,36127.008101851854,36127.008101851854
250,112,36123.40666666667,36123.40666666667
250,113,36123.40666666667,36123.40666666667
250,114,36119.31458333333,36119.31458333333
250,115,36119.273518518516,36119.273518518516
250,116,36035.82393518519,36035.82393518519
250,117,36029.64476851852,36029.64476851852
250,118,36029.64476851852,36029.64476851852
250,119,36029.64476851852,36029.64476851852
250,120,36029.623194444444,36029.623194444444
250,121,36029.623194444444,36029.63416666666
250,122,36029.623194444444,36029.63416666666
250,123,35864.908171296294,35864.908171296294
250,124,35864.8537037037,35864.8537037037
250,125,35864.8537037037,35864.87567129629
250,126,35808.255833333336,35808.255833333336
250,127,35808.255833333336,35808.255833333336
250,128,35808.255833333336,35808.25659722222
250,129,35808.255833333336,35808.73583333333
250,130,35808.255833333336,35808.73583333333
250,131,35365.12840277778,35365.12840277778
250,132,35365.12840277778,35365.74555555556
250,133,35365.12840277778,35365.33284722222
250,134,35352.006319444445,35352.006319444445
250,135,35344.828101851854,35344.828101851854
250,136,35200.944375,35200.944375
250,137,35200.944375,35200.944375
250,138,35200.944375,35200.944375
250,139,35200.85909722222,35200.85909722222
250,140,35184.75231481482,35184.75231481482
250,141,35152.45946759259,35152.45946759259
250,142,35152.45946759259,35152.45946759259
250,143,35152.45946759259,35152.45946759259
250,144,35152.45946759259,35171.32962962963
250,145,35152.45946759259,35171.32962962963
250,146,35152.45946759259,35171.24474537037
250,147,35152.45946759259,35171.45185185185
250,148,35152.45946759259,35171.45185185185
250,149,35152.45946759259,35172.803773148145
250,150,35152.45946759259,35167.52439814815
250,151,35152.45946759259,35164.84861111111
250,152,35152.45946759259,35164.91550925926
250,153,35152.45946759259,35164.91550925926
250,154,35152.45946759259,35164.91550925926
250,155,35152.45946759259,35164.91550925926
250,156,35152.45946759259,35164.91550925926
250,157,35152.45946759259,35163.96585648148
250,158,35152.45946759259,35166.35601851852
250,159,35152.45946759259,35166.35592592593
250,160,35152.45946759259,35165.62537037037
250,161,35152.45946759259,35166.04472222222
250,162,35152.45946759259,35166.04472222222
250,163,35152.45946759259,35166.04472222222
250,164,35152.45946759259,35164.80143518518
250,165,35152.45946759259,35164.80143518518
250,166,35152.45946759259,35164.800532407404
250,167,35152.45946759259,35164.800532407404
250,168,35152.45946759259,35164.316875
250,169,35152.45946759259,35159.85513888889
250,170,35152.45946759259,35160.017847222225
250,171,35152.45946759259,35159.09738425926
250,172,35152.45946759259,35158.997245370374
250,173,35136.095601851855,35136.095601851855
250,174,35136.095601851855,35136.095601851855
250,175,35106.92564814815,35106.92564814815
250,176,35106.92564814815,35106.92564814815
250,177,35061.99796296296,35061.99796296296
250,178,35061.99796296296,35062.00863425926
250,179,35061.99796296296,35062.00863425926
250,180,35061.78256944445,35061.78256944445
250,181,35061.78256944445,35065.13560185185
250,182,35061.78256944445,35062.80868055556
250,183,34960.90835648148,34960.90835648148
250,184,34960.87550925926,34960.87550925926
250,185,34959.906689814816,34959.906689814816
250,186,34959.906689814816,34959.99113425926
250,187,34959.906689814816,34959.954050925924
250,188,34959.906689814816,34959.954050925924
250,189,34959.7825,34959.7825
250,190,34959.7825,34959.7825
250,191,34959.7825,34959.7825
250,192,34959.75761574074,34959.75761574074
250,193,34950.52574074074,34950.52574074074
250,194,34950.504212962966,34950.504212962966
250,195,34950.504212962966,34950.504212962966
250,196,34950.50136574074,34950.50136574074
250,197,34950.50136574074,34950.50136574074
250,198,34950.50136574074,34950.56594907407
250,199,34950.50136574074,34950.57895833333
250,200,34950.50136574074,34950.57895833333
250,201,34950.50136574074,34950.57895833333
250,202,34950.50136574074,34953.483402777776
250,203,34950.50136574074,34953.306550925925
250,204,34934.44569444445,34934.44569444445
250,205,34934.44569444445,34934.44569444445
250,206,34934.44569444445,34934.44569444445
250,207,34934.44569444445,34936.99925925926
250,208,34934.44569444445,34936.99925925926
250,209,34934.44569444445,34937.032314814816
250,210,34934.44569444445,34937.047106481485
250,211,34934.44569444445,34945.88995370371
250,212,34934.44569444445,34951.74969907408
250,213,34934.44569444445,34951.74969907408
250,214,34934.44569444445,34951.438796296294
250,215,34934.44569444445,34951.42780092593
250,216,34934.44569444445,34951.415625
250,217,34934.44569444445,34951.415625
250,218,34934.44569444445,34953.00680555555
250,219,34934.44569444445,34952.50148148148
250,220,34934.44569444445,34952.497569444444
250,221,34934.44569444445,34952.51881944444
250,222,34934.44569444445,34952.06993055555
250,223,34934.44569444445,34952.06993055555
250,224,34934.44569444445,34952.06993055555
250,225,34934.44569444445,34947.28425925926
250,226,34934.44569444445,34947.272152777776
250,227,34934.44569444445,34949.49916666667
250,228,34934.44569444445,34948.651412037034
250,229,34934.44569444445,34948.64861111111
250,230,34934.44569444445,34948.65462962963
250,231,34934.44569444445,34945.85849537037
250,232,34934.44569444445,34940.959375
250,233,34865.00925925926,34865.00925925926
250,234,34863.48930555556,34863.48930555556
250,235,34809.22356481481,34809.22356481481
250,236,34805.328194444446,34805.328194444446
250,237,34802.48347222222,34802.48347222222
250,238,34802.48347222222,34802.555138888885
250,239,34733.46418981482,34733.46418981482
250,240,34733.46418981482,34733.46418981482
250,241,34720.280810185184,34720.280810185184
250,242,34720.280810185184,34720.48601851852
250,243,34720.055625,34720.055625
250,244,34720.055625,34721.33902777778
250,245,34720.055625,34721.444074074076
250,246,34720.055625,34723.561736111114
250,247,34720.055625,34723.52071759259
250,248,34720.055625,34724.20888888889
250,249,34475.7893287037,34475.7893287037
250,250,34448.49935185185,34448.49935185185
250,251,34448.49935185185,34448.49935185185
250,252,34447.64618055556,34447.64618055556
250,253,34447.64618055556,34447.64618055556
250,254,34447.64618055556,34447.64618055556
250,255,34408.97511574074,34408.97511574074
250,256,34408.97511574074,34408.97511574074
250,257,34408.97511574074,34408.97511574074
250,258,34277.76016203704,34277.76016203704
250,259,34277.742268518516,34277.742268518516
250,260,34277.742268518516,34277.75928240741
250,261,34277.30435185185,34277.30435185185
250,262,34277.196180555555,34277.196180555555
250,263,34277.196180555555,34277.196180555555
250,264,34210.91,34210.91
250,265,33642.96337962963,33642.96337962963
250,266,33564.530324074076,33564.530324074076
250,267,33564.530324074076,33564.530324074076
250,268,33429.963055555556,33429.963055555556
250,269,33429.963055555556,33429.963055555556
250,270,33410.45631944444,33410.45631944444
