Polygons,Generation,bestMSE,currentMSE
250,1,17825.359375,17825.359375
250,2,17824.13976851852,17824.13976851852
250,3,17602.56148148148,17602.56148148148
250,4,17602.56148148148,17602.736481481483
250,5,17576.01599537037,17576.01599537037
250,6,17576.01599537037,17579.271921296295
250,7,17576.01599537037,17579.16587962963
250,8,17576.01599537037,17587.838194444445
250,9,17573.727291666666,17573.727291666666
250,10,17573.727291666666,17575.77912037037
250,11,17400.016921296297,17400.016921296297
250,12,17400.016921296297,17400.016921296297
250,13,17400.016921296297,17404.416550925926
250,14,17400.016921296297,17404.404560185187
250,15,17400.016921296297,17404.48990740741
250,16,17400.016921296297,17403.938055555554
250,17,17400.016921296297,17414.264189814814
250,18,17400.016921296297,17414.24986111111
250,19,17400.016921296297,17414.254699074074
250,20,17400.016921296297,17414.39321759259
250,21,17400.016921296297,17413.714444444446
250,22,17400.016921296297,17413.00013888889
250,23,17183.942037037035,17183.942037037035
250,24,17183.06136574074,17183.06136574074
250,25,17183.06136574074,17183.114212962962
250,26,17183.06136574074,17183.114212962962
250,27,17183.00951388889,17183.00951388889
250,28,17176.738078703704,17176.738078703704
250,29,17174.126435185186,17174.126435185186
250,30,17174.126435185186,17174.126435185186
250,31,16916.26287037037,16916.26287037037
250,32,16914.877175925925,16914.877175925925
250,33,16914.877175925925,16914.877175925925
250,34,16913.364814814813,16913.364814814813
250,35,16913.364814814813,16920.73164351852
250,36,16805.565902777777,16805.565902777777
250,37,16805.565902777777,16805.565902777777
250,38,16805.565902777777,16806.020648148147
250,39,16805.565902777777,16806.020648148147
250,40,16759.946180555555,16759.946180555555
250,41,16759.946180555555,16760.042453703703
250,42,16759.946180555555,16760.129930555555
250,43,16759.946180555555,16760.129930555555
250,44,16759.946180555555,16760.14060185185
250,45,16759.946180555555,16760.14060185185
250,46,16759.946180555555,16760.36175925926
250,47,16759.946180555555,16760.36175925926
250,48,16759.946180555555,16760.36175925926
250,49,16759.946180555555,16761.05277777778
250,50,16759.304328703704,16759.304328703704
250,51,16758.460925925927,16758.460925925927
250,52,16758.460925925927,16758.535277777777
250,53,16757.301111111112,16757.301111111112
250,54,16757.301111111112,16757.55787037037
250,55,16757.301111111112,16757.55787037037
250,56,16756.01303240741,16756.01303240741
250,57,16439.517662037037,16439.517662037037
250,58,16411.95328703704,16411.95328703704
250,59,16251.124328703703,16251.124328703703
250,60,16247.098865740742,16247.098865740742
250,61,16244.249583333334,16244.249583333334
250,62,16167.330833333333,16167.330833333333
250,63,16167.330833333333,16167.330833333333
250,64,16163.919861111111,16163.919861111111
250,65,16163.23337962963,16163.23337962963
250,66,16071.770856481482,16071.770856481482
250,67,16071.770856481482,16071.770856481482
250,68,16071.770856481482,16071.773379629629
250,69,16071.770856481482,16072.19351851852
250,70,16071.770856481482,16072.19351851852
250,71,16070.167291666667,16070.167291666667
250,72,16050.974050925926,16050.974050925926
250,73,16044.550162037038,16044.550162037038
250,74,16044.550162037038,16044.550162037038
250,75,16044.550162037038,16044.550162037038
250,76,16044.550162037038,16044.56074074074
250,77,16031.292384259259,16031.292384259259
250,78,16030.654652777777,16030.654652777777
250,79,16030.311203703704,16030.311203703704
250,80,16027.211273148148,16027.211273148148
250,81,16008.68099537037,16008.68099537037
250,82,16008.68099537037,16008.68099537037
250,83,16003.521736111112,16003.521736111112
250,84,16003.521736111112,16003.521736111112
250,85,16003.521736111112,16004.407893518519
250,86,16003.521736111112,16004.445856481481
250,87,16003.521736111112,16010.015069444444
250,88,16003.521736111112,16010.050069444444
250,89,15832.635324074074,15832.635324074074
250,90,15832.635324074074,15834.033101851852
250,91,15832.635324074074,15834.876921296296
250,92,15832.635324074074,15834.888935185185
250,93,15832.635324074074,15840.052083333334
250,94,15832.635324074074,15840.052083333334
250,95,15832.635324074074,15839.924722222222
250,96,15832.635324074074,15838.501412037038
250,97,15832.635324074074,15838.51224537037
250,98,15832.635324074074,15838.587106481482
250,99,15832.635324074074,15837.620509259259
250,100,15832.635324074074,15841.02574074074
250,101,15832.635324074074,15849.315231481482
250,102,15832.635324074074,15849.315231481482
250,103,15832.635324074074,15849.295555555556
250,104,15832.635324074074,15849.295555555556
250,105,15832.635324074074,15845.998194444444
250,106,15832.635324074074,15851.044768518519
250,107,15832.635324074074,15851.186481481482
250,108,15832.635324074074,15850.524907407407
250,109,15832.635324074074,15850.524907407407
250,110,15832.635324074074,15850.524907407407
250,111,15832.635324074074,15849.523078703704
250,112,15832.635324074074,15849.589166666667
250,113,15832.635324074074,15849.589166666667
250,114,15832.635324074074,15849.523078703704
250,115,15832.635324074074,15848.15900462963
250,116,15791.103078703703,15791.103078703703
250,117,15785.879236111112,15785.879236111112
250,118,15785.879236111112,15785.893796296295
250,119,15785.879236111112,15785.893796296295
250,120,15771.689675925925,15771.689675925925
250,121,15768.954398148147,15768.954398148147
250,122,15768.549004629629,15768.549004629629
250,123,15768.549004629629,15768.549004629629
250,124,15768.549004629629,15768.550185185186
250,125,15768.549004629629,15775.03826388889
250,126,15768.549004629629,15775.021458333333
250,127,15768.549004629629,15775.021458333333
250,128,15768.549004629629,15775.022731481482
250,129,15768.549004629629,15775.303773148149
250,130,15768.549004629629,15775.357407407408
250,131,15768.549004629629,15774.295231481481
250,132,15684.93,15684.93
250,133,15684.93,15684.996643518518
250,134,15684.93,15685.26011574074
250,135,15684.93,15685.114282407407
250,136,15684.93,15688.449907407406
250,137,15684.93,15687.49238425926
250,138,15684.93,15699.28212962963
250,139,15441.64587962963,15441.64587962963
250,140,15441.501898148148,15441.501898148148
250,141,15441.501898148148,15441.667083333334
250,142,15441.501898148148,15448.871412037037
250,143,15441.501898148148,15448.879421296297
250,144,15441.501898148148,15448.879421296297
250,145,15384.872986111111,15384.872986111111
250,146,15384.872986111111,15384.872986111111
250,147,15384.872986111111,15386.41386574074
250,148,15384.872986111111,15386.41386574074
250,149,15384.872986111111,15386.190277777778
250,150,15384.872986111111,15386.175879629629
250,151,15384.872986111111,15393.922337962964
250,152,15384.872986111111,15393.922337962964
250,153,15380.104791666667,15380.104791666667
250,154,15380.104791666667,15380.104791666667
250,155,15380.097916666668,15380.097916666668
250,156,15380.08900462963,15380.08900462963
250,157,15380.08900462963,15380.08900462963
250,158,15380.08900462963,15383.44175925926
250,159,15380.08900462963,15388.359375
250,160,15297.05173611111,15297.05173611111
250,161,15296.94875,15296.94875
250,162,15296.94875,15296.94875
250,163,15296.94875,15296.94875
250,164,15296.772291666666,15296.772291666666
250,165,15232.45787037037,15232.45787037037
250,166,15227.819976851852,15227.819976851852
250,167,15190.802199074074,15190.802199074074
250,168,15190.802199074074,15190.805185185185
250,169,15190.802199074074,15190.805185185185
250,170,15188.212430555555,15188.212430555555
250,171,15188.212430555555,15190.55037037037
250,172,15188.212430555555,15191.043333333333
250,173,15188.212430555555,15191.025648148148
250,174,15144.632291666667,15144.632291666667
250,175,15144.632291666667,15144.880023148147
250,176,15144.632291666667,15144.880023148147
250,177,15144.632291666667,15144.880023148147
250,178,15144.632291666667,15144.775949074074
250,179,15144.632291666667,15144.817615740742
250,180,15144.632291666667,15144.817615740742
250,181,15144.632291666667,15144.784814814815
250,182,15048.413888888888,15048.413888888888
250,183,15047.855,15047.855
250,184,15047.855,15050.995694444444
250,185,15047.855,15051.006990740741
250,186,15047.855,15051.006990740741
250,187,15040.573032407407,15040.573032407407
250,188,15040.573032407407,15040.573032407407
250,189,15040.573032407407,15054.667824074075
250,190,15040.573032407407,15054.505277777778
250,191,15040.573032407407,15054.505277777778
250,192,15040.573032407407,15054.512777777778
250,193,15040.573032407407,15046.856273148149
250,194,15040.573032407407,15042.85363425926
250,195,15040.573032407407,15042.85175925926
250,196,15030.179861111112,15030.179861111112
250,197,15030.179861111112,15030.179861111112
250,198,15030.179861111112,15032.25513888889
250,199,15030.179861111112,15034.784675925926
250,200,15030.179861111112,15034.786643518519
250,201,15030.179861111112,15034.786643518519
250,202,15030.179861111112,15034.786643518519
250,203,15030.179861111112,15047.831203703703
250,204,15026.063194444445,15026.063194444445
250,205,15011.60974537037,15011.60974537037
250,206,15011.60974537037,15016.824351851852
250,207,15011.60974537037,15016.919375
250,208,15011.60974537037,15013.944444444445
250,209,15011.60974537037,15013.996296296296
250,210,15011.60974537037,15013.996296296296
250,211,15011.225625,15011.225625
250,212,15011.225625,15011.225625
250,213,15011.225625,15011.225625
250,214,15011.225625,15011.24650462963
250,215,15007.88037037037,15007.88037037037
250,216,14748.463333333333,14748.463333333333
250,217,14748.463333333333,14748.463333333333
250,218,14748.463333333333,14748.463333333333
250,219,14640.040462962963,14640.040462962963
250,220,14639.085300925926,14639.085300925926
250,221,14639.085300925926,14648.343657407408
250,222,14639.085300925926,14647.443564814816
250,223,14639.085300925926,14647.443564814816
250,224,14639.085300925926,14647.443564814816
250,225,14639.085300925926,14647.443564814816
250,226,14639.085300925926,14641.315833333334
250,227,14639.085300925926,14641.012291666666
250,228,14639.085300925926,14641.757662037036
250,229,14639.085300925926,14641.757662037036
250,230,14639.085300925926,14643.638194444444
250,231,14639.085300925926,14639.98386574074
250,232,14639.085300925926,14639.98386574074
250,233,14639.085300925926,14643.977777777778
250,234,14639.085300925926,14643.916064814815
250,235,14639.085300925926,14640.819699074074
250,236,14639.085300925926,14640.870578703703
250,237,14639.085300925926,14640.814375
250,238,14433.577592592592,14433.577592592592
250,239,14433.577592592592,14442.032106481482
250,240,14433.577592592592,14445.017546296296
250,241,14433.577592592592,14445.017546296296
250,242,14433.577592592592,14444.775138888888
250,243,14433.577592592592,14444.791412037037
250,244,14433.577592592592,14444.956481481482
250,245,14433.577592592592,14444.659305555555
250,246,14433.577592592592,14440.340740740741
250,247,14433.577592592592,14440.340740740741
250,248,14433.577592592592,14440.340740740741
250,249,14433.577592592592,14440.340740740741
