Polygons,Generation,bestMSE,currentMSE
250,1,40588.780439814815,40609.33342592593
250,2,40588.780439814815,40647.859375
250,3,40588.780439814815,40596.250393518516
250,4,40588.780439814815,40596.250393518516
250,5,40588.780439814815,40596.20263888889
250,6,40588.780439814815,40596.75664351852
250,7,40588.780439814815,40596.257685185185
250,8,40588.780439814815,40596.13726851852
250,9,40588.780439814815,41170.07108796296
250,10,40588.780439814815,41166.39990740741
250,11,40588.780439814815,41165.92407407407
250,12,40588.780439814815,41165.85344907407
250,13,40588.780439814815,41164.40696759259
250,14,40588.780439814815,41161.72451388889
250,15,40588.780439814815,41162.000185185185
250,16,40588.780439814815,41162.000185185185
250,17,40588.780439814815,41341.87708333333
250,18,40588.780439814815,41341.868472222224
250,19,40588.780439814815,41909.63381944445
250,20,40588.780439814815,41909.64020833333
250,21,40588.780439814815,41908.13361111111
250,22,40588.780439814815,41908.13361111111
250,23,40588.780439814815,41896.057800925926
250,24,40588.780439814815,41896.23875
250,25,40588.780439814815,41896.53252314815
250,26,40588.780439814815,41890.252754629626
250,27,40588.780439814815,41890.25162037037
250,28,40588.780439814815,41885.01152777778
250,29,40588.780439814815,41934.004282407404
250,30,40588.780439814815,41938.50194444445
250,31,40588.780439814815,41939.41826388889
250,32,40588.780439814815,41963.563564814816
250,33,40588.780439814815,41962.96092592592
250,34,40588.780439814815,41961.71789351852
250,35,40588.780439814815,41963.66171296296
250,36,40588.780439814815,41846.71451388889
250,37,40588.780439814815,41944.982615740744
250,38,40588.780439814815,41952.043657407405
250,39,40588.780439814815,42536.22321759259
250,40,40588.780439814815,42536.2287037037
250,41,40588.780439814815,42537.90261574074
250,42,40588.780439814815,42537.90261574074
250,43,40588.780439814815,42509.484814814816
250,44,40588.780439814815,42509.484814814816
250,45,40588.780439814815,42509.484814814816
250,46,40588.780439814815,42501.156226851854
250,47,40588.780439814815,42501.156226851854
250,48,40588.780439814815,42501.156226851854
250,49,40588.780439814815,42501.213796296295
250,50,40588.780439814815,42457.19011574074
250,51,40588.780439814815,42520.315462962964
250,52,40588.780439814815,42511.81900462963
250,53,40588.780439814815,42511.80930555556
250,54,40588.780439814815,42525.350810185184
250,55,40588.780439814815,42528.11960648148
250,56,40588.780439814815,42485.9155787037
250,57,40588.780439814815,42480.71240740741
250,58,40588.780439814815,42551.582291666666
250,59,40588.780439814815,42551.582291666666
250,60,40588.780439814815,42551.52925925926
250,61,40588.780439814815,42554.27738425926
250,62,40588.780439814815,42769.09023148148
250,63,40588.780439814815,42759.06527777778
250,64,40588.780439814815,42759.68824074074
250,65,40588.780439814815,42759.95428240741
250,66,40588.780439814815,42760.108981481484
250,67,40588.780439814815,42759.70710648148
250,68,40588.780439814815,42743.730162037034
250,69,40588.780439814815,43107.344675925924
250,70,40588.780439814815,43107.24083333334
250,71,40588.780439814815,43110.15125
250,72,40588.780439814815,43115.160949074074
250,73,40588.780439814815,43181.01467592592
250,74,40588.780439814815,43180.62993055556
250,75,40588.780439814815,43189.3281712963
250,76,40588.780439814815,43189.31270833333
250,77,40588.780439814815,43116.88611111111
250,78,40588.780439814815,43126.209375
250,79,40588.780439814815,43170.751851851855
250,80,40588.780439814815,43170.91594907407
250,81,40588.780439814815,43169.37578703704
250,82,40588.780439814815,43170.16206018518
250,83,40588.780439814815,43170.16206018518
250,84,40588.780439814815,43169.337430555555
250,85,40588.780439814815,43181.83951388889
250,86,40588.780439814815,43198.00277777778
250,87,40588.780439814815,43197.18467592593
250,88,40588.780439814815,43197.17375
250,89,40588.780439814815,43143.29194444444
250,90,40588.780439814815,43152.56182870371
250,91,40588.780439814815,42743.50027777778
250,92,40588.780439814815,42743.79881944445
250,93,40588.780439814815,42741.517800925925
250,94,40588.780439814815,42727.848657407405
250,95,40588.780439814815,42727.848657407405
250,96,40588.780439814815,42727.96759259259
250,97,40588.780439814815,42727.97523148148
250,98,40588.780439814815,42731.40405092593
250,99,40588.780439814815,42731.40405092593
250,100,40588.780439814815,42728.00125
250,101,40588.780439814815,42726.24655092593
250,102,40588.780439814815,42726.24655092593
250,103,40588.780439814815,42726.24655092593
250,104,40588.780439814815,41514.35564814815
250,105,40588.780439814815,41608.596967592595
250,106,40588.780439814815,41613.58372685185
250,107,40588.780439814815,41643.14574074074
250,108,40588.780439814815,41392.31814814815
250,109,40588.780439814815,41003.74254629629
250,110,40588.780439814815,41005.91363425926
250,111,40588.780439814815,41050.52673611111
250,112,40588.780439814815,41079.94247685185
250,113,40588.780439814815,40781.1425
250,114,40588.780439814815,40781.25743055555
250,115,40588.780439814815,40784.93344907407
250,116,40588.780439814815,40768.35854166667
250,117,40588.780439814815,40851.35418981482
250,118,40588.780439814815,40844.165717592594
250,119,40588.780439814815,40820.87168981481
250,120,40588.780439814815,40753.107986111114
250,121,40588.780439814815,40752.84701388889
250,122,40588.780439814815,40752.94814814815
250,123,40588.780439814815,40877.08002314815
250,124,40588.780439814815,40875.56958333333
250,125,40588.780439814815,40821.0775462963
250,126,40588.780439814815,41120.88037037037
250,127,40588.780439814815,41235.505578703705
250,128,40588.780439814815,41236.03261574074
250,129,40588.780439814815,41236.039722222224
250,130,40588.780439814815,41476.82534722222
250,131,40588.780439814815,41476.82534722222
250,132,40588.780439814815,41477.865625
250,133,40588.780439814815,41473.97305555556
250,134,40588.780439814815,41489.599699074075
250,135,40588.780439814815,41510.68835648148
250,136,40588.780439814815,41467.12430555555
250,137,40588.780439814815,41467.231944444444
250,138,40588.780439814815,41439.97453703704
250,139,40588.780439814815,41439.971967592595
250,140,40588.780439814815,41428.38046296296
250,141,40588.780439814815,41431.2062037037
250,142,40588.780439814815,41431.2062037037
250,143,40588.780439814815,41423.419652777775
250,144,40588.780439814815,41430.98143518518
250,145,40588.780439814815,41541.08944444444
250,146,40588.780439814815,41540.82277777778
250,147,40588.780439814815,41541.62138888889
250,148,40588.780439814815,41541.62138888889
250,149,40588.780439814815,41610.78763888889
250,150,40588.780439814815,41587.52453703704
250,151,40588.780439814815,41587.52453703704
250,152,40588.780439814815,41591.98935185185
250,153,40588.780439814815,41627.20342592592
250,154,40588.780439814815,41622.945439814815
250,155,40588.780439814815,41623.01666666667
250,156,39962.94673611111,39962.94673611111
250,157,39962.94673611111,39971.96150462963
250,158,39962.94673611111,39972.07430555556
250,159,39962.94673611111,39972.07430555556
250,160,39962.94673611111,39977.908680555556
250,161,39962.94673611111,39977.908680555556
250,162,39962.94673611111,39977.923425925925
250,163,39962.94673611111,39978.0737037037
250,164,39962.94673611111,39978.07712962963
250,165,39962.94673611111,39981.25740740741
250,166,39962.94673611111,39981.36256944444
250,167,39740.041134259256,39740.041134259256
250,168,39740.041134259256,39740.32641203704
250,169,39732.92868055555,39732.92868055555
250,170,39732.37611111111,39732.37611111111
250,171,39732.37611111111,39732.37611111111
250,172,39718.51372685185,39718.51372685185
250,173,39718.32564814815,39718.32564814815
250,174,39718.32564814815,39718.85680555556
250,175,39718.32564814815,39718.992685185185
250,176,39718.32564814815,39718.963425925926
250,177,39718.32564814815,39719.211435185185
250,178,39717.97782407407,39717.97782407407
250,179,39532.82435185185,39532.82435185185
250,180,39532.82435185185,39532.82435185185
250,181,39532.821435185186,39532.821435185186
250,182,39530.91775462963,39530.91775462963
250,183,39490.92884259259,39490.92884259259
250,184,39490.92884259259,39496.41930555556
250,185,39490.92884259259,39583.10159722222
250,186,39490.92884259259,39564.80212962963
250,187,39490.92884259259,39566.53884259259
250,188,39490.92884259259,39566.18581018518
250,189,39490.92884259259,39571.68780092592
250,190,39490.92884259259,39571.68780092592
250,191,39490.92884259259,39590.92215277778
250,192,39490.92884259259,39600.96240740741
250,193,39490.92884259259,39600.1355787037
250,194,39490.92884259259,39600.1355787037
250,195,39490.92884259259,39600.140555555554
250,196,39490.92884259259,39603.484444444446
250,197,39490.92884259259,39602.30516203704
250,198,39490.92884259259,39599.89071759259
250,199,39490.92884259259,39613.689097222225
250,200,39490.92884259259,39613.85293981482
250,201,39490.92884259259,39613.886712962965
250,202,39490.92884259259,39615.378217592595
250,203,39490.92884259259,39615.35766203704
250,204,39490.92884259259,39625.47592592592
250,205,39490.92884259259,39624.704722222225
