Polygons,Generation,bestMSE,currentMSE
250,1,43946.04037037037,43946.04037037037
250,2,43946.04037037037,43950.08039351852
250,3,43946.04037037037,43950.64962962963
250,4,43946.04037037037,43950.81587962963
250,5,43946.04037037037,43951.069375
250,6,43946.04037037037,43947.27777777778
250,7,43946.04037037037,43946.274305555555
250,8,43946.04037037037,43946.274305555555
250,9,43946.04037037037,43946.274305555555
250,10,43946.04037037037,43946.295648148145
250,11,43946.04037037037,43946.18965277778
250,12,43944.5168287037,43944.5168287037
250,13,43944.5168287037,43944.5168287037
250,14,43944.5168287037,43944.577893518515
250,15,43944.5168287037,43944.577893518515
250,16,43944.5168287037,43944.57266203704
250,17,43884.101875,43884.101875
250,18,43884.064375,43884.064375
250,19,43874.85962962963,43874.85962962963
250,20,43874.85962962963,43875.96462962963
250,21,43874.85962962963,43875.95884259259
250,22,43874.85962962963,43875.53502314815
250,23,43874.85962962963,43874.92585648148
250,24,43874.85962962963,43874.92585648148
250,25,43854.985601851855,43854.985601851855
250,26,43846.079421296294,43846.079421296294
250,27,43846.07226851852,43846.07226851852
250,28,43846.07226851852,43846.428981481484
250,29,43846.07226851852,43846.428981481484
250,30,43845.641018518516,43845.641018518516
250,31,43845.641018518516,43845.81731481481
250,32,43845.641018518516,43845.81731481481
250,33,43842.89050925926,43842.89050925926
250,34,43842.89050925926,43842.951898148145
250,35,43842.89050925926,43843.07402777778
250,36,43842.89050925926,43843.07402777778
250,37,43842.89050925926,43843.07402777778
250,38,43815.38659722222,43815.38659722222
250,39,43815.38659722222,43817.136412037034
250,40,43815.38659722222,43817.136412037034
250,41,43815.38659722222,43817.32643518518
250,42,43815.38659722222,43816.38395833333
250,43,43761.78476851852,43761.78476851852
250,44,43761.78476851852,43761.78476851852
250,45,43761.78476851852,43762.12039351852
250,46,43761.78476851852,43762.12039351852
250,47,43761.78476851852,43762.05652777778
250,48,43761.78476851852,43767.89849537037
250,49,43746.15125,43746.15125
250,50,43732.01525462963,43732.01525462963
250,51,43732.01525462963,43732.01525462963
250,52,43732.01525462963,43732.01525462963
250,53,43732.01525462963,43732.02717592593
250,54,43732.01525462963,43732.313796296294
250,55,43729.810324074075,43729.810324074075
250,56,43729.43990740741,43729.43990740741
250,57,43729.43990740741,43732.69590277778
250,58,42737.32777777778,42737.32777777778
250,59,42737.32777777778,42737.32777777778
250,60,42673.98810185185,42673.98810185185
250,61,42670.495208333334,42670.495208333334
250,62,42666.592777777776,42666.592777777776
250,63,42665.72703703704,42665.72703703704
250,64,42665.72703703704,42665.72703703704
250,65,42665.72703703704,42665.72703703704
250,66,42665.72703703704,42665.72703703704
250,67,42665.72703703704,42665.73650462963
250,68,42665.72703703704,42665.73650462963
250,69,42657.331828703704,42657.331828703704
250,70,42630.453518518516,42630.453518518516
250,71,42630.453518518516,42630.49025462963
250,72,42626.70263888889,42626.70263888889
250,73,42626.523680555554,42626.523680555554
250,74,42626.523680555554,42642.38988425926
250,75,42626.523680555554,42652.854467592595
250,76,42626.523680555554,42654.117939814816
250,77,42626.523680555554,42654.13958333333
250,78,42626.523680555554,42647.39791666667
250,79,42626.523680555554,42647.427152777775
250,80,42626.523680555554,42647.55548611111
250,81,42626.523680555554,42647.77983796296
250,82,42508.13868055555,42508.13868055555
250,83,42508.13868055555,42508.13868055555
250,84,42508.13043981481,42508.13043981481
250,85,42506.36347222222,42506.36347222222
250,86,42496.729050925926,42496.729050925926
250,87,42496.669907407406,42496.669907407406
250,88,42496.669907407406,42496.80076388889
250,89,42496.669907407406,42496.80076388889
250,90,42496.669907407406,42496.80076388889
250,91,42496.553935185184,42496.553935185184
250,92,42496.553935185184,42496.64560185185
250,93,42496.553935185184,42499.107407407406
250,94,42494.95342592592,42494.95342592592
250,95,42494.95342592592,42494.95342592592
250,96,42494.95342592592,42495.0112037037
250,97,42494.622569444444,42494.622569444444
250,98,42494.622569444444,42494.622569444444
250,99,42494.622569444444,42497.15513888889
250,100,42494.622569444444,42497.15513888889
250,101,42494.622569444444,42497.18891203704
250,102,42494.622569444444,42497.21131944445
250,103,42472.33037037037,42472.33037037037
250,104,42472.33037037037,42472.33037037037
250,105,42471.951203703706,42471.951203703706
250,106,42468.677569444444,42468.677569444444
250,107,42468.677569444444,42468.677569444444
250,108,42468.677569444444,42468.677569444444
250,109,42468.677569444444,42469.830092592594
250,110,42468.677569444444,42469.830092592594
250,111,42468.677569444444,42468.78335648148
250,112,42126.79530092593,42126.79530092593
250,113,42126.72368055556,42126.72368055556
250,114,42126.72368055556,42130.014444444445
250,115,42126.72368055556,42130.01025462963
250,116,42112.06136574074,42112.06136574074
250,117,42111.86537037037,42111.86537037037
250,118,42111.86537037037,42111.86537037037
250,119,42110.77199074074,42110.77199074074
250,120,42110.77199074074,42110.77199074074
250,121,42110.77199074074,42124.997407407405
250,122,42110.77199074074,42124.997407407405
250,123,42110.77199074074,42124.997407407405
250,124,42110.77199074074,42116.15756944445
250,125,42110.77199074074,42114.27782407407
250,126,42110.77199074074,42114.27782407407
250,127,42079.801620370374,42079.801620370374
250,128,42079.801620370374,42079.801620370374
250,129,42033.53412037037,42033.53412037037
250,130,42033.53412037037,42033.53412037037
250,131,42024.24601851852,42024.24601851852
250,132,41717.744097222225,41717.744097222225
250,133,41717.744097222225,41717.85979166667
250,134,41717.744097222225,41717.85979166667
250,135,41717.744097222225,41717.93877314815
250,136,41664.82414351852,41664.82414351852
250,137,41664.82414351852,41664.82414351852
250,138,41664.414375,41664.414375
250,139,41643.266550925924,41643.266550925924
250,140,41637.84657407407,41637.84657407407
250,141,41637.84657407407,41638.181666666664
250,142,41575.74821759259,41575.74821759259
250,143,41575.74821759259,41575.74821759259
250,144,41575.74821759259,41575.74821759259
250,145,41575.74821759259,41575.74821759259
250,146,41575.74821759259,41575.74821759259
250,147,41575.7287037037,41575.7287037037
250,148,41307.6655787037,41307.6655787037
250,149,41307.6655787037,41307.6655787037
250,150,41263.30972222222,41263.30972222222
250,151,41263.30972222222,41263.30972222222
250,152,41237.46,41237.46
250,153,41237.46,41237.46
250,154,41237.46,41237.46
250,155,41237.46,41237.46
250,156,41234.13270833333,41234.13270833333
250,157,41234.13270833333,41234.170648148145
250,158,41234.13270833333,41234.170648148145
250,159,40109.19726851852,40109.19726851852
250,160,40109.19726851852,40109.19726851852
250,161,40088.653032407405,40088.653032407405
250,162,40043.2124537037,40043.2124537037
250,163,40043.2124537037,40043.2124537037
250,164,40043.2124537037,40043.2124537037
250,165,40043.2124537037,40043.4712037037
250,166,39942.22944444444,39942.22944444444
250,167,39941.626967592594,39941.626967592594
250,168,39937.41111111111,39937.41111111111
250,169,39937.41111111111,39937.41111111111
250,170,39937.41111111111,39937.54520833334
250,171,39937.41111111111,39937.54520833334
250,172,39937.380532407406,39937.380532407406
250,173,39937.380532407406,39937.380532407406
250,174,39937.380532407406,39937.380532407406
250,175,39937.380532407406,39937.380532407406
250,176,39937.380532407406,39940.15645833333
250,177,39937.380532407406,39940.15645833333
250,178,39937.380532407406,39940.15645833333
250,179,39937.380532407406,39940.15645833333
250,180,39937.380532407406,39940.91185185185
250,181,39855.35724537037,39855.35724537037
250,182,39855.35724537037,39855.36513888889
250,183,39578.928125,39578.928125
250,184,39578.35625,39578.35625
250,185,39578.35625,39578.39627314815
250,186,39578.35625,39579.627222222225
250,187,39534.87907407407,39534.87907407407
250,188,39534.667546296296,39534.667546296296
250,189,39534.667546296296,39534.667546296296
250,190,39534.412083333336,39534.412083333336
250,191,39529.16122685185,39529.16122685185
250,192,39529.16122685185,39529.69803240741
250,193,39529.16122685185,39532.19048611111
250,194,39529.16122685185,39533.08810185185
250,195,39529.16122685185,39533.083078703705
250,196,39529.16122685185,39533.083078703705
250,197,39529.16122685185,39533.191412037035
250,198,39529.16122685185,39534.75462962963
250,199,39515.185578703706,39515.185578703706
250,200,39515.185578703706,39515.185578703706
250,201,39515.185578703706,39517.16134259259
